data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
16-set-22,16,9,2022,265,4,B,Tropidurus_torquatus,NA,90,90B,NA,Recaptura,1.00,8.25,7.25,62.00,95.00,NA,N,F,N,IBGE,,,,,
16-set-22,16,9,2022,265,7,M,Tropidurus_torquatus,NA,80_1,81B,NA,Recaptura,1.00,11.25,10.25,67.00,104.00,NA,N,M,N,IBGE,,,,,
16-set-22,16,9,2022,265,12,M,Tropidurus_torquatus,NA,90_1,91B,NA,Captura,2.00,28.00,26.00,93.00,120.00,40.00,S,M,N,IBGE,,,,,
20-set-22,20,9,2022,265,14,B,Tropidurus_torquatus,NA,90_2,92B,NA,Captura,1.00,8.50,7.50,62.00,86.00,NA,N,F,N,IBGE,,,,,
23-set-22,23,9,2022,265,1,M,Tropidurus_torquatus,NA,90_3,93B,NA,Captura,1.00,20.50,19.50,82.00,109.00,64.00,N,F,N,IBGE,,,,,
23-set-22,23,9,2022,265,2,B,Tropidurus_torquatus,NA,80_9,89B,NA,recaptura,0.50,8.00,7.50,60.00,90.00,NA,N,F,N,IBGE,,,,,
23-set-22,23,9,2022,265,18,B,Tropidurus_torquatus,NA,90_4,94B,NA,Captura,0.50,4.00,3.50,47.00,68.00,NA,N,F,N,IBGE,,,,,
27-set-22,27,9,2022,265,7,C,Tropidurus_torquatus,NA,80_1,81B,NA,Recaptura,1.00,12.50,11.50,69.00,118.00,NA,N,M,N,IBGE,RECAPTURA,,,,
30-set-22,30,9,2022,265,1,M,Tropidurus_torquatus,NA,90_5,95B,NA,Captura,2.00,33.00,31.00,95.00,127.00,78.00,N,M,N,IBGE,CAUDA REGENERADA,,,,
30-set-22,30,9,2022,265,9,M,Tropidurus_torquatus,NA,80_1,81B,NA,recaptura,1.00,12.75,11.75,71.00,109.00,NA,N,M,N,IBGE,,,,,
30-set-22,30,9,2022,265,10,B,Tropidurus_torquatus,NA,90_6,96B,NA,Captura,1.00,10.00,9.00,66.00,85.00,85.00,S,M,N,IBGE,PONTINHA DA CAUDA REGENERADA,,,,
30-set-22,30,9,2022,265,14,A,Tropidurus_torquatus,NA,90_7,97B,NA,Captura,1.00,7.25,6.25,56.00,82.00,NA,N,I,N,IBGE,"PESO: 7,25-1",,,,
30-set-22,30,9,2022,265,15,A,Tropidurus_torquatus,NA,90_8,98B,NA,Captura,NA,NA,NA,NA,NA,NA,N,NA,N,IBGE,FUGIU NO MANUSEIO,,,,
30-set-22,30,9,2022,265,20,A,Tropidurus_torquatus,NA,90_9,99B,NA,Captura,1.00,7.25,6.25,60.00,88.00,NA,N,I,N,IBGE,,,,,
4-out-22,4,10,2022,266,6,A,Tropidurus_torquatus,NA,100_1,101B,NA,Captura,1.00,NA,NA,NA,NA,NA,N,F,N,IBGE,FUGIU. DEDOS COLETADOS,,,,
4-out-22,4,10,2022,266,18,A,Tropidurus_torquatus,NA,100_2,102B,NA,Captura,1.00,8.25,7.25,61.00,85.00,NA,N,F,N,IBGE,,,,,
7-out-22,7,10,2022,266,1,B,Tropidurus_torquatus,NA,80_1,81B,NA,recaptura,1.00,13.75,12.75,69.00,108.00,NA,N,M,N,IBGE,,,,,
7-out-22,7,10,2022,266,7,C,Tropidurus_torquatus,NA,80_6,86B,NA,recaptura,1.00,10.50,9.50,67.00,100.00,NA,N,F,N,IBGE,,,,,
11-out-22,11,10,2022,266,9,M,Tropidurus_torquatus,NA,100_3,103B,NA,Captura,1.00,11.00,10.00,69.00,101.00,NA,N,M,N,IBGE,,,,,
14-out-22,14,10,2022,266,9,M,Tropidurus_torquatus,NA,100_4,104B,NA,Captura,1.00,20.25,19.25,85.00,120.00,NA,N,F,N,IBGE,,,,,
